,Name,Position,Club,Nationality,Age,Height,Weight
0,Bernd Leno,Goalkeeper,Arsenal,Germany,27,190cm,83kg
1,Emiliano Martínez,Goalkeeper,Arsenal,Argentina,27,195cm,88kg
2,Matt Macey,Goalkeeper,Arsenal,England,25,198cm,81kg
3,Héctor Bellerín,Defender,Arsenal,Spain,24,178cm,74kg
4,Sokratis,Defender,Arsenal,Greece,31,186cm,85kg
5,Rob Holding,Defender,Arsenal,England,24,189cm,75kg
6,Shkodran Mustafi,Defender,Arsenal,Germany,27,184cm,82kg
7,Konstantinos Mavropanos,Defender,Arsenal,Greece,22,194cm,88kg
8,Sead Kolasinac,Defender,Arsenal,Bosnia And Herzegovina,26,183cm,85kg
9,Calum Chambers,Defender,Arsenal,England,24,182cm,66kg
10,Kieran Tierney,Defender,Arsenal,Scotland,22,178cm,70kg
11,David Luiz,Defender,Arsenal,Brazil,32,189cm,84kg
12,Tolaji Bola,Defender,Arsenal,England,20,188cm,78kg
13,Zech Medley,Defender,Arsenal,England,19,195cm,
14,Mesut Özil,Midfielder,Arsenal,Germany,31,180cm,76kg
15,Lucas Torreira,Midfielder,Arsenal,Uruguay,23,168cm,64kg
16,Ainsley Maitland-Niles,Midfielder,Arsenal,England,22,177cm,71kg
17,Matteo Guendouzi,Midfielder,Arsenal,France,20,185cm,64kg
18,Granit Xhaka,Midfielder,Arsenal,Switzerland,27,185cm,82kg
19,Joseph Willock,Midfielder,Arsenal,England,20,179cm,71kg
20,Emile Smith Rowe,Midfielder,Arsenal,England,19,182cm,79kg
21,Dani Ceballos,Midfielder,Arsenal  (Loan),Spain,23,179cm,70kg
22,Robbie Burton,Midfielder,Arsenal,Wales,19,176cm,69kg
23,James Olayinka,Midfielder,Arsenal,England,19,,
24,Alexandre Lacazette,Forward,Arsenal,France,28,175cm,73kg
25,Pierre-Emerick Aubameyang,Forward,Arsenal,Gabon,30,187cm,80kg
26,Gabriel Martinelli,Forward,Arsenal,Brazil,18,180cm,75kg
27,Reiss Nelson,Forward,Arsenal,England,20,175cm,71kg
28,Nicolas Pépé,Forward,Arsenal,Cote D'Ivoire,24,183cm,73kg
29,Bukayo Saka,Forward,Arsenal,England,18,178cm,65kg
30,Folarin Balogun,Forward,Arsenal,England,18,178cm,66kg
31,Tyreece John-Jules,Forward,Arsenal,England,18,183cm,
32,Ørjan Nyland,Goalkeeper,Aston Villa,Norway,29,192cm,90kg
33,Jed Steer,Goalkeeper,Aston Villa,England,27,183cm,80kg
34,Lovre Kalinic,Goalkeeper,Aston Villa,Croatia,29,201cm,96kg
35,Tom Heaton,Goalkeeper,Aston Villa,England,33,188cm,85kg
36,Neil Taylor,Defender,Aston Villa,Wales,30,176cm,64kg
37,James Chester,Defender,Aston Villa,Wales,30,180cm,75kg
38,Ahmed El Mohamady,Defender,Aston Villa,Egypt,32,183cm,75kg
39,Frederic Guilbert,Defender,Aston Villa,France,25,178cm,70kg
40,Matt Targett,Defender,Aston Villa,England,24,183cm,70kg
41,Kortney Hause,Defender,Aston Villa,England,24,191cm,77kg
42,Tyrone Mings,Defender,Aston Villa,England,26,196cm,77kg
43,Ezri Konsa Ngoyo,Defender,Aston Villa,England,22,183cm,77kg
44,Björn Engels,Defender,Aston Villa,Belgium,25,193cm,83kg
45,John McGinn,Midfielder,Aston Villa,Scotland,25,178cm,68kg
46,Henri Lansbury,Midfielder,Aston Villa,England,29,183cm,78kg
47,Jack Grealish,Midfielder,Aston Villa,England,24,175cm,68kg
48,Conor Hourihane,Midfielder,Aston Villa,Ireland,28,180cm,62kg
49,Jota,Midfielder,Aston Villa,Spain,28,180cm,70kg
50,Anwar El Ghazi,Midfielder,Aston Villa,Netherlands,24,188cm,90kg
51,Trézéguet,Midfielder,Aston Villa,Egypt,25,180cm,71kg
52,Douglas Luiz,Midfielder,Aston Villa,Brazil,21,175cm,66kg
53,Marvelous Nakamba,Midfielder,Aston Villa,Zimbabwe,25,178cm,71kg
54,Jacob Ramsey,Midfielder,Aston Villa,England,18,,
55,Keinan Davis,Forward,Aston Villa,England,21,191cm,68kg
56,Jonathan Kodjia,Forward,Aston Villa,Cote D'Ivoire,30,191cm,77kg
57,Wesley,Forward,Aston Villa,Brazil,23,191cm,93kg
58,Cameron Archer,Forward,Aston Villa,England,18,,
59,Artur Boruc,Goalkeeper,Bournemouth,Poland,39,193cm,87kg
60,Mark Travers,Goalkeeper,Bournemouth,Ireland,20,191cm,82kg
61,Aaron Ramsdale,Goalkeeper,Bournemouth,England,21,188cm,77kg
62,William Dennis,Goalkeeper,Bournemouth,England,19,,
63,Simon Francis,Defender,Bournemouth,England,34,183cm,90kg
64,Steve Cook,Defender,Bournemouth,England,28,185cm,82kg
65,Nathan Aké,Defender,Bournemouth,Netherlands,24,180cm,75kg
66,Charlie Daniels,Defender,Bournemouth,England,33,178cm,75kg
67,Adam Smith,Defender,Bournemouth,England,28,180cm,78kg
68,Diego Rico,Defender,Bournemouth,Spain,26,183cm,76kg
69,Jack Simpson,Defender,Bournemouth,England,23,178cm,83kg
70,Chris Mepham,Defender,Bournemouth,Wales,22,191cm,84kg
71,Lloyd Kelly,Defender,Bournemouth,England,21,178cm,70kg
72,Brad Smith,Defender,Bournemouth,Australia,25,178cm,70kg
73,Jack Stacey,Defender,Bournemouth,England,23,180cm,62kg
74,Corey Jordan,Defender,Bournemouth,England,20,185cm,80kg
75,Dan Gosling,Midfielder,Bournemouth,England,29,183cm,79kg
76,Andrew Surman,Midfielder,Bournemouth,England,33,178cm,73kg
77,Jefferson Lerma,Midfielder,Bournemouth,Colombia,25,179cm,70kg
78,Jordon Ibe,Midfielder,Bournemouth,England,24,176cm,81kg
79,Lewis Cook,Midfielder,Bournemouth,England,22,175cm,71kg
80,Junior Stanislas,Midfielder,Bournemouth,England,30,183cm,76kg
81,David Brooks,Midfielder,Bournemouth,Wales,22,173cm,62kg
82,Ryan Fraser,Midfielder,Bournemouth,Scotland,25,163cm,70kg
83,Matt Butcher,Midfielder,Bournemouth,England,22,178cm,83kg
84,Mihai-Alexandru Dobre,Midfielder,Bournemouth,Romania,21,178cm,71kg
85,Philip Billing,Midfielder,Bournemouth,Denmark,23,193cm,83kg
86,Harry Wilson,Midfielder,Bournemouth  (Loan),Wales,22,173cm,70kg
87,Gavin Kilkenny,Midfielder,Bournemouth,Ireland,19,,
88,Christian Saydee,Midfielder,Bournemouth,England,17,,
89,Callum Wilson,Forward,Bournemouth,England,27,180cm,66kg
90,Joshua King,Forward,Bournemouth,Norway,27,180cm,74kg
91,Dominic Solanke,Forward,Bournemouth,England,22,187cm,80kg
92,Arnaut Danjuma Groeneveld,Forward,Bournemouth,Netherlands,22,178cm,74kg
93,Mat Ryan,Goalkeeper,Brighton,Australia,27,184cm,82kg
94,Jason Steele,Goalkeeper,Brighton,England,29,188cm,79kg
95,David Button,Goalkeeper,Brighton,England,30,191cm,87kg
96,Gaëtan Bong,Defender,Brighton,Cameroon,31,187cm,74kg
97,Shane Duffy,Defender,Brighton,Ireland,27,193cm,76kg
98,Lewis Dunk,Defender,Brighton,England,28,192cm,88kg
99,Leon Balogun,Defender,Brighton,Nigeria,31,190cm,88kg
100,Martín Montoya,Defender,Brighton,Spain,28,175cm,73kg
101,Bernardo,Defender,Brighton,Brazil,24,186cm,76kg
102,Dan Burn,Defender,Brighton,England,27,198cm,87kg
103,Ezequiel Schelotto,Defender,Brighton,Italy,30,187cm,77kg
104,Adam Webster,Defender,Brighton,England,24,191cm,75kg
105,Tudor Baluta,Defender,Brighton,Romania,20,191cm,
106,Warren O'Hora,Defender,Brighton,Ireland,20,,
107,Archie Davies,Defender,Brighton,England,21,,
108,Romaric Yapi,Defender,Brighton,France,19,,
109,Alex Cochrane,Defender,Brighton,England,19,,
110,Haydon Roberts,Defender,Brighton,England,17,,
111,Dale Stephens,Midfielder,Brighton,England,30,169cm,71kg
112,Yves Bissouma,Midfielder,Brighton,Mali,23,182cm,80kg
113,Pascal Groß,Midfielder,Brighton,Germany,28,181cm,78kg
114,Solly March,Midfielder,Brighton,England,25,180cm,88kg
115,Davy Pröpper,Midfielder,Brighton,Netherlands,28,185cm,79kg
116,Leandro Trossard,Midfielder,Brighton,Belgium,25,172cm,61kg
117,Aaron Mooy,Midfielder,Brighton  (Loan),Australia,29,174cm,68kg
118,Peter Gwargis,Midfielder,Brighton,Sweden,19,,
119,Taylor Richards,Midfielder,Brighton,England,19,,
120,Jack Spong,Midfielder,Brighton,England,17,,
121,Teddy Jenks,Midfielder,Brighton,England,17,,
122,Andrew Crofts,Midfielder,Brighton,Wales,35,175cm,73kg
123,Jordan Davies,Midfielder,Brighton,Wales,21,,
124,Ryan Longman,Midfielder,Brighton,England,19,,
125,Alireza Jahanbakhsh,Forward,Brighton,Iran,26,180cm,76kg
126,Glenn Murray,Forward,Brighton,England,36,183cm,80kg
127,José Izquierdo,Forward,Brighton,Colombia,27,171cm,73kg
128,Neal Maupay,Forward,Brighton,France,23,173cm,69kg
129,Aaron Connolly,Forward,Brighton,Ireland,19,,
130,Steven Alzate,Forward,L Orient,Colombia,21,180cm,75kg
131,Bojan Radulovic Samoukovic,Forward,Brighton,Serbia,19,191cm,79kg
132,Joe Hart,Goalkeeper,Burnley,England,32,196cm,91kg
133,Nick Pope,Goalkeeper,Burnley,England,27,191cm,76kg
134,Adam Legzdins,Goalkeeper,Burnley,England,33,190cm,78kg
135,Bailey Peacock-Farrell,Goalkeeper,Burnley,Northern Ireland,23,193cm,73kg
136,Matthew Lowton,Defender,Burnley,England,30,180cm,78kg
137,Charlie Taylor,Defender,Burnley,England,26,176cm,70kg
138,James Tarkowski,Defender,Burnley,England,27,185cm,81kg
139,Ben Mee,Defender,Burnley,England,30,180cm,74kg
140,Ben Gibson,Defender,Burnley,England,26,185cm,78kg
141,Phil Bardsley,Defender,Burnley,Scotland,34,180cm,74kg
142,Kevin Long,Defender,Burnley,Ireland,29,188cm,83kg
143,Joel Senior,Defender,Burnley,England,,,
144,Erik Pieters,Defender,Burnley,Netherlands,31,183cm,84kg
145,Anthony Driscoll-Glennon,Defender,Burnley,England,20,181cm,
146,Jack Cork,Midfielder,Burnley,England,30,183cm,70kg
147,Johann Gudmundsson,Midfielder,Burnley,Iceland,29,186cm,78kg
148,Robbie Brady,Midfielder,Burnley,Ireland,27,176cm,71kg
149,Jeff Hendrick,Midfielder,Burnley,Ireland,27,185cm,79kg
150,Ashley Westwood,Midfielder,Burnley,England,29,175cm,80kg
151,Aaron Lennon,Midfielder,Burnley,England,32,165cm,63kg
152,Dwight McNeil,Midfielder,Burnley,England,20,183cm,68kg
153,Daniel Drinkwater,Midfielder,Burnley  (Loan),England,29,178cm,79kg
154,Lewis Richardson,Midfielder,Burnley,England,16,,
155,Mace Goodridge,Midfielder,Burnley,England,20,,
156,Ashley Barnes,Forward,Burnley,Austria,30,186cm,77kg
157,Chris Wood,Forward,Burnley,New Zealand,28,191cm,81kg
158,Matej Vydra,Forward,Burnley,Czech Republic,27,180cm,71kg
159,Jay Rodriguez,Forward,Burnley,England,30,185cm,84kg
160,Kepa Arrizabalaga,Goalkeeper,Chelsea,Spain,25,189cm,84kg
161,Willy Caballero,Goalkeeper,Chelsea,Argentina,38,186cm,81kg
162,Jamie Cumming,Goalkeeper,Chelsea,England,20,186cm,79kg
163,Antonio Rüdiger,Defender,Chelsea,Germany,26,190cm,85kg
164,Marcos Alonso,Defender,Chelsea,Spain,28,188cm,84kg
